"Date","Price","Open","High","Low","Vol.","Change %"
"22/07/2024","1.3700","1.4899","1.4978","1.3658","24.81M","-8.05%"
"21/07/2024","1.4900","1.4599","1.4921","1.3780","30.12M","2.07%"
"20/07/2024","1.4598","1.4729","1.5081","1.4281","21.19M","-0.91%"
"19/07/2024","1.4732","1.4020","1.4900","1.3628","33.62M","5.07%"
"18/07/2024","1.4020","1.4531","1.4982","1.3719","32.70M","-3.52%"
"17/07/2024","1.4531","1.4300","1.5521","1.4179","55.59M","1.61%"
"16/07/2024","1.4301","1.4200","1.4791","1.3160","57.03M","0.70%"
"15/07/2024","1.4201","1.2491","1.4291","1.2389","56.92M","13.69%"
"14/07/2024","1.2491","1.1642","1.2672","1.1641","29.18M","7.30%"
"13/07/2024","1.1641","1.1899","1.2152","1.1379","19.01M","-2.19%"
"12/07/2024","1.1902","1.1468","1.1913","1.1027","26.87M","3.75%"
"11/07/2024","1.1471","1.1929","1.2352","1.1378","28.45M","-3.85%"
"10/07/2024","1.1930","1.2050","1.2392","1.1761","34.35M","-0.97%"
"09/07/2024","1.2047","1.1589","1.2093","1.1360","27.12M","3.95%"
"08/07/2024","1.1590","1.1122","1.2471","1.0592","52.01M","4.21%"
"07/07/2024","1.1122","1.2311","1.2392","1.1089","29.35M","-9.66%"
"06/07/2024","1.2311","1.1619","1.2811","1.1439","38.88M","5.95%"
"05/07/2024","1.1619","1.2269","1.2271","1.0571","65.58M","-5.29%"
"04/07/2024","1.2269","1.2508","1.2902","1.1591","40.33M","-1.92%"
"03/07/2024","1.2508","1.3212","1.3303","1.2189","32.39M","-5.30%"
"02/07/2024","1.3209","1.2959","1.3680","1.2641","25.34M","1.92%"
"01/07/2024","1.2960","1.4309","1.4973","1.2898","34.63M","-9.45%"
"30/06/2024","1.4311","1.3469","1.4511","1.3258","35.22M","6.26%"
"29/06/2024","1.3469","1.4088","1.4451","1.3447","23.47M","-4.42%"
"28/06/2024","1.4091","1.5469","1.5560","1.3939","46.47M","-8.91%"
"27/06/2024","1.5470","1.7741","1.7790","1.4970","68.24M","-12.80%"
"26/06/2024","1.7740","1.5869","1.8530","1.5829","57.31M","11.77%"
"25/06/2024","1.5872","1.6321","1.7120","1.5719","43.09M","-2.75%"
"24/06/2024","1.6320","1.4022","1.7011","1.3488","56.47M","16.39%"
"23/06/2024","1.4022","1.4700","1.5231","1.3973","23.92M","-4.62%"
"22/06/2024","1.4702","1.5880","1.5901","1.4619","23.28M","-7.41%"
"21/06/2024","1.5878","1.6050","1.6280","1.5279","41.49M","-1.07%"
"20/06/2024","1.6050","1.5059","1.7360","1.4759","105.39M","6.57%"
"19/06/2024","1.5061","1.1939","1.5081","1.1749","68.50M","26.15%"
"18/06/2024","1.1939","1.3189","1.3249","1.1080","52.67M","-9.48%"
"17/06/2024","1.3190","1.4725","1.4902","1.2270","54.05M","-10.43%"
"16/06/2024","1.4725","1.4597","1.4934","1.4265","10.94M","0.83%"
"15/06/2024","1.4604","1.4802","1.5072","1.4510","13.35M","-1.31%"
"14/06/2024","1.4798","1.5881","1.6418","1.4331","30.43M","-6.81%"
"13/06/2024","1.5879","1.7171","1.7250","1.5638","20.19M","-7.51%"
"12/06/2024","1.7169","1.5370","1.7541","1.4690","43.13M","11.71%"
"11/06/2024","1.5370","1.6605","1.7159","1.5100","41.76M","-7.42%"
"10/06/2024","1.6601","1.7379","1.7481","1.6318","26.01M","-4.41%"
"09/06/2024","1.7367","1.7460","1.7713","1.7157","14.22M","-0.54%"
"08/06/2024","1.7462","1.8489","1.8607","1.7020","23.97M","-5.71%"
